latitude,longitude,temperature,salinity,turbidity,time,ts,depth
21.26005745,-157.8607178,23.39285851,33.9280777,7.08E-40,2019-02-18 00:00:00 HST,1550484000,0.25
21.25975037,-157.8603668,23.38951302,33.92193604,1.59E-40,2019-02-18 00:00:00 HST,1550484000,0.25
21.25944138,-157.8600159,23.38828278,33.9205246,6.26E-41,2019-02-18 00:00:00 HST,1550484000,0.25
21.25913429,-157.8596649,23.38835144,33.92237854,2.42E-41,2019-02-18 00:00:00 HST,1550484000,0.25
21.25882721,-157.8592987,23.38918304,33.9271698,1.13E-42,2019-02-18 00:00:00 HST,1550484000,0.25
21.25852013,-157.8589478,23.3875885,33.92612839,3.50E-44,2019-02-18 00:00:00 HST,1550484000,0.25
21.25821304,-157.8585968,23.38717651,33.92816162,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25790596,-157.8582458,23.38751411,33.93286133,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25759888,-157.8578949,23.3870182,33.93579483,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25728989,-157.8575439,23.38589287,33.93558502,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.2569828,-157.8571777,23.38358498,33.93286133,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25667572,-157.8568268,23.38201904,33.9304657,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25636864,-157.8564758,23.38202286,33.93184662,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25606155,-157.8561249,23.38256836,33.93527985,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25575447,-157.8557739,23.37942505,33.93173981,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25544739,-157.8554077,23.37737846,33.93312454,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.2551384,-157.8550568,23.377882,33.93980026,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25483131,-157.8547058,23.37853241,33.94527817,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25452423,-157.8543549,23.37846565,33.94329453,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25421715,-157.8540039,23.37792206,33.94272232,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25391006,-157.853653,23.37763023,33.93947601,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25360298,-157.8532867,23.37650681,33.94040298,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.2532959,-157.8529358,23.37065697,33.93894196,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25298691,-157.8525848,23.37048149,33.93013763,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25267982,-157.8522339,23.37757492,33.92771149,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25237274,-157.8518829,23.38084221,33.93220139,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25206566,-157.851532,23.38096619,33.93309402,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25175858,-157.8511658,23.38335419,33.92741776,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25145149,-157.8508148,23.3914299,33.92746353,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25114441,-157.8504639,23.39457321,33.9238472,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25083542,-157.8501129,23.39756203,33.92520523,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25052834,-157.849762,23.39382172,33.9199028,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.25022125,-157.8493958,23.38704872,33.9097023,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.24991417,-157.8490448,23.37740898,33.90756226,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.24960709,-157.8486938,23.35799408,33.91463852,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.2493,-157.8483429,23.34920692,33.91365814,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.24899292,-157.8479919,23.34529686,33.91027832,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.24868393,-157.847641,23.34700584,33.91132736,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.24837685,-157.8472748,23.35085487,33.91704178,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.24806976,-157.8469238,23.35368156,33.91568756,0,2019-02-18 00:00:00 HST,1550484000,0.25
21.24776268,-157.8465729,23.35652542,33.913517,1.95E-31,2019-02-18 00:00:00 HST,1550484000,0.25
21.2474556,-157.8462219,23.35580444,33.90259552,8.03E-32,2019-02-18 00:00:00 HST,1550484000,0.25
21.24706841,-157.8457794,23.35252953,33.89928818,2.55E-32,2019-02-18 00:00:00 HST,1550484000,0.25
21.24660492,-157.8452454,23.34877205,33.90568542,8.76E-33,2019-02-18 00:00:00 HST,1550484000,0.25
21.24606133,-157.8446198,23.33802414,33.90613937,3.39E-33,2019-02-18 00:00:00 HST,1550484000,0.25
21.24543762,-157.8439026,23.3245182,33.91200638,4.27E-33,2019-02-18 00:00:00 HST,1550484000,0.25
21.24473572,-157.8430939,23.31183815,33.9119072,1.09E-32,2019-02-18 00:00:00 HST,1550484000,0.25
21.24395561,-157.8421936,23.30457306,33.90921402,2.08E-33,2019-02-18 00:00:00 HST,1550484000,0.25
21.24309731,-157.8412018,23.29713058,33.90881729,5.84E-34,2019-02-18 00:00:00 HST,1550484000,0.25
21.24215889,-157.8401337,23.28782272,33.90619659,-1.00E-33,2019-02-18 00:00:00 HST,1550484000,0.25
21.24114227,-157.8389587,23.2778244,33.89774704,-1.26E-32,2019-02-18 00:00:00 HST,1550484000,0.25
21.31207275,-157.9167023,23.55949402,34.13406754,-1.01E-10,2019-02-18 00:00:00 HST,1550484000,0.25
21.30404282,-157.9074554,24.04230499,34.11579514,4.69E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.30309868,-157.9063721,23.88594055,34.10837173,2.94E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.30226707,-157.9054108,23.79016304,34.09832001,2.70E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.301548,-157.9045868,23.73720169,34.09444046,4.09E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.30093956,-157.9038849,23.70650482,34.0982399,5.60E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.30058861,-157.9034882,23.69406891,34.10323334,6.74E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.30027962,-157.9031219,23.6905365,34.10820007,7.45E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29997253,-157.902771,23.68789864,34.11099625,7.83E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29966545,-157.90242,23.68650055,34.11410522,7.97E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29935837,-157.9020691,23.68446922,34.11517334,7.98E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29905128,-157.9017181,23.68175507,34.11509705,7.87E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.2987442,-157.9013519,23.6789341,34.11496353,7.75E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29843712,-157.901001,23.67636108,34.11418152,7.66E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29812813,-157.90065,23.67388725,34.11379242,7.89E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29782104,-157.9002991,23.67152596,34.11439514,8.52E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29751396,-157.8999481,23.67079735,34.11514282,9.07E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29720688,-157.8995972,23.67211151,34.11441803,8.36E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.2968998,-157.899231,23.67827034,34.11110306,5.70E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29659271,-157.89888,23.68454552,34.10948944,3.52E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29628563,-157.8985291,23.68510246,34.11075592,2.56E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29597664,-157.8981781,23.68554306,34.11076355,2.10E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29566956,-157.8978271,23.68521309,34.10994339,1.86E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29536247,-157.8974609,23.68395233,34.10861588,1.73E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29505539,-157.89711,23.6817112,34.10727692,1.62E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29474831,-157.896759,23.68016052,34.10332489,1.44E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29444122,-157.8964081,23.6781292,34.09671783,1.16E-13,2019-02-18 00:00:00 HST,1550484000,0.25
21.29413414,-157.8960571,23.67534637,34.0917778,8.72E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29382515,-157.8957062,23.67090034,34.09191513,6.67E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29351807,-157.89534,23.66639137,34.09202957,5.18E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29321098,-157.894989,23.6599865,34.08852005,4.05E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.2929039,-157.8946381,23.65223694,34.08634949,3.23E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29259682,-157.8942871,23.64593315,34.08502197,2.58E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29228973,-157.8939362,23.64000511,34.08381653,2.03E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29198265,-157.8935699,23.63317871,34.08287048,1.62E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29167366,-157.893219,23.62648964,34.08190918,1.37E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29136658,-157.892868,23.62116432,34.08123016,1.20E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29105949,-157.8925171,23.61826897,34.08009338,1.07E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29075241,-157.8921661,23.61665535,34.07883072,1.02E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29044533,-157.8918152,23.61476517,34.0771904,1.07E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.29013824,-157.891449,23.60762405,34.07498932,1.20E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28983116,-157.891098,23.5940094,34.07171631,1.32E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28952217,-157.8907471,23.5796051,34.06895065,1.45E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28921509,-157.8903961,23.56989479,34.06713486,1.59E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.288908,-157.8900452,23.56259727,34.06560135,1.76E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28860092,-157.889679,23.55136871,34.06331253,1.92E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28829384,-157.889328,23.5352726,34.05931473,2.03E-14,2019-02-18 00:00:00 HST,1550484000,0.25
21.28798676,-157.8889771,23.51651955,34.05424118,2.09E-14,2019-02-18 00:00:00 HST,1550484000,0.25
